date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:31	40965/40965	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:30%20GMT	https://uniwebsidad.com/libros/css/capitulo-2/herencia	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-2/herencia.html	(from https://uniwebsidad.com/libros/css)
15:47:32	37957/37957	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:31%20GMT	https://uniwebsidad.com/libros/css/capitulo-2/colisiones-de-estilos	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-2/colisiones-de-estilos.html	(from https://uniwebsidad.com/libros/css)
15:47:33	34563/34563	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:32%20GMT	https://uniwebsidad.com/libros/css/capitulo-3	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-3.html	(from https://uniwebsidad.com/libros/css)
15:47:34	49206/49206	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:33%20GMT	https://uniwebsidad.com/libros/css/capitulo-3/unidades-de-medida	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-3/unidades-de-medida.html	(from https://uniwebsidad.com/libros/css)
15:47:35	45516/45516	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:34%20GMT	https://uniwebsidad.com/libros/css/capitulo-3/colores	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-3/colores.html	(from https://uniwebsidad.com/libros/css)
15:47:36	37974/37974	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:35%20GMT	https://uniwebsidad.com/libros/css/capitulo-4	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4.html	(from https://uniwebsidad.com/libros/css)
15:47:37	38811/38811	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:36%20GMT	https://uniwebsidad.com/libros/css/capitulo-4/anchura-y-altura	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4/anchura-y-altura.html	(from https://uniwebsidad.com/libros/css)
15:47:38	48945/48945	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:37%20GMT	https://uniwebsidad.com/libros/css/capitulo-4/margen-y-relleno	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4/margen-y-relleno.html	(from https://uniwebsidad.com/libros/css)
15:47:39	52757/52757	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:38%20GMT	https://uniwebsidad.com/libros/css/capitulo-4/bordes	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4/bordes.html	(from https://uniwebsidad.com/libros/css)
15:47:40	47481/47481	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:39%20GMT	https://uniwebsidad.com/libros/css/capitulo-4/margen-relleno-bordes-y-modelo-de-cajas	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4/margen-relleno-bordes-y-modelo-de-cajas.html	(from https://uniwebsidad.com/libros/css)
15:47:41	54855/54855	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:40%20GMT	https://uniwebsidad.com/libros/css/capitulo-4/fondos	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-4/fondos.html	(from https://uniwebsidad.com/libros/css)
15:47:42	35865/35865	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:41%20GMT	https://uniwebsidad.com/libros/css/capitulo-5	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-5.html	(from https://uniwebsidad.com/libros/css)
15:47:42	38813/38813	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Nov%202019%2014:47:42%20GMT	https://uniwebsidad.com/libros/css/capitulo-5/tipos-de-elementos	/media/ango/1TB-DATOS/websites/CSS-Uniwebsidad/uniwebsidad.com/libros/css/capitulo-5/tipos-de-elementos.html	(from https://uniwebsidad.com/libros/css)
